filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,Pivotal,PIVOTAL-28652,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,Pivotal,PIVOTAL-25522,Customer Defect,Release pending,27.0,"PIVOTAL-21789,PIVOTAL-21797,PIVOTAL-21831,PIVOTAL-21834,PIVOTAL-21838,PIVOTAL-21840,PIVOTAL-21841,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,"PA Cache, Web & Live",PAUB-32242,Defect,Release pending,0.0,
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-14787,Defect,Release pending,6.0,"OSCMENT-10475,OSCMENT-10489,OSCMENT-117,OSCMENT-14140,OSCMENT-14141,OSCMENT-14142"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-14700,Customer Defect,Reviewed,13.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-10569,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-14604,Defect,Reviewed,12.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-13903,Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-13503,Customer Defect,Release pending,1.0,OSCMENT-13732
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-12515,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13396"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-12513,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13215"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-12498,Defect,In Code Review,,
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-12341,Defect,Release pending,3.0,"OSCMENT-12064,OSCMENT-12070,OSCMENT-12228"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-12226,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-9101,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-8784,Defect,Release pending,7.0,"OSCMENT-6038,OSCMENT-6623,OSCMENT-6963,OSCMENT-7322,OSCMENT-7326,OSCMENT-7328,OSCMENT-9611"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-8719,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-8708,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,2021-01-01,OneSCM Enterprise,OSCMENT-8707,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
